abaza	value
НапIыцIырхвхва	НапIы-цI-р-[хвхва]-\nнеперех.\nнаходиться в состоянии свисания из рук\nДцIрытI газеткI йнапIыцIырхвхва (й-й-напIы-цIы-р-хвхва). КыткI, 90. Он крикнул, держа в руке газету (газета, свисая из его руки).\nПРЕВЕРБ напIы-цIы+КОРНИ\nКлычев, с. page\n2151
НапIыцIхIвара	НапIы-цI-[хIва]-ра\nперех.\nвыхватить, выхватывать кого, что-л. из рук кого-н.\nАкIас лнапIыцIихIватI (й-л-напIы-цI-и-хIва-тI). Аб. Т. Он выхватил шаль из ее (ж.) рук.\nПРЕВЕРБ напIы-цIы+КОРНИ\nКлычев, с. page\n2152
НапIыцIцра	НапIы-цI-[ц]-ра\nнеперех.\nвыпасть, выбиться из рук кого-л.\nАсльан йнапIыцIцтI (й-й-напIы-цI-ц-тI). Абзазара, 21. То (в.) выпало (выбилось) из рук Аслана.\nПРЕВЕРБ напIы-цIы+КОРНИ\nКлычев, с. page\n2153
НапIыцIшара	НапIы-цI-[ша]-ра\nнеперех.\nслучиться из рук кого-л.; совершить из рук кого-л.\nСара й-с-напIы-цI-ша-з сгьарчIвум, сгьаргылуам. Ком., 24.V.1986, 8. То, что я наделала, не дает мне покоя (то, что случилось из моих рук, не дает мне ни сидеть, ни стоять).\nПРЕВЕРБ напIы-цIы+КОРНИ\nКлычев, с. page\n2154
Нкъвгара	Нкъв-[га]-ра\nперех.\nнести, носить кого, что-л. ухаживать за кем, чем-н.\nАли напIыла д-ы-нкъвы-р-г-итI. ДжькIахбаста, 69. Они носят Али на руках. Сгвы йадта й-ы-нкъвы-з-г-итI. Нышв, 351. Я ношу то (в.) рядом с сердцем. АцIла бзита й-ы-нкъвы-з-г-итI. АчIвыйа, 33. Я хорошо ухаживаю за деревом.\nПРЕВЕРБ нкъв(ы) КОРНИ\nКлычев, с. page\n2155
Нкъвыкъьара	Нкъвы-[къьа]-ра\nнеперех.\nбегать в разные стороны, резвиться\nАсаби д-ы-нкъвы-къь-уштI. АПА, 54. Ребенок будет бегать (в разные стороны).  АгIвхвыукIгьи нкъвыкъьитI (й-ы-нкъвы-къь-итI). Т. Б., Амара, 46. Оба (мальчика) резвяся.\nПРЕВЕРБ нкъв(ы) КОРНИ\nКлычев, с. page\n2156
НкъвхIвара	Нкъв-[хIва]-ра\nперех.\nволочить, таскать, тащить кого, что-л.\nАсаби йджьанах нкъвихIвитI (й-нкъв-и-хIв-итI). Аб. Т. Ребенок тащит свои сани.\nПРЕВЕРБ нкъв(ы) КОРНИ\nКлычев, с. page\n2157
Нкъвцара	Нкъв-[ца]-ра\nперех.\nводить что-л., погнать, гнать кого-л., расследовать, изучать что-л.\nСа йахьчIва амашина нкъвсцатI (й-ы-нкъв-с-ца-тI). АчIвыйа, 38. Я сегодня водил машину. Апша апстхIваква нкъвнацитI (й-нкъв-на-ц-итI). Йара, 22. Ветер гонит тучи. ХIара ауи й-ы-нкъв-и-ц-уа йалыгIдыргIайа? Ком., 24. V. 1986, 8. Откуда мы значи, что он изучает?\nПРЕВЕРБ нкъв(ы) КОРНИ\nКлычев, с. page\n2158
Апама	А-па-[ма]-\nнеперех.\nиметься, водиться, находиться, пребывать\nАлыгажв йла агварта й-а-па-ма-пI. Абаза т., 154. Собака старика водится на стане. Ауи Москва д-а-па-ма-пI. АРС, 79. Он находится в Москве.\nПРЕВЕРБ па+КОРНИ\nКлычев, с. page\n2159
Апачважвара	А-па-[чважва]-ра\nнеперех.\nвозразить, возражать кому-л. (старшему)\nС-ан-й-а-па-чважва мчы сизактI. Т. Б., Амара, 35. Когда я ему (старшему) возразил, он меня сильно избил.\nПРЕВЕРБ па+КОРНИ\nКлычев, с. page\n2160
Пжвара (1)	П-[жва]-ра\nнеперех.\nнаслаждаться (жизнью)\nД-а-жв-итI. Аб. Т. Он наслаждается (жизнью).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2161
Пжвара (2)	П-[жва]-ра\nперех.\nразорвать, разрывать кого-л. (спереди)\nАхча д-п-на-жв-итI. АРС, 300. Он денежный человек (его разрывают деньги).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2162
Пжвжвара	П-[жвжва]-ра\nперех.\nразорвать, разрывать что-л. во многих местах (спереди)\nАркъан пыржвжватI (й-пы-р-жвжва-тI). Аб. Т. Они разорвали веревку во многих места.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2163
Пкъра (1)	П-[къ]-ра\nнеперех.\nотрезать, резать, заниматься резанием\nЙтшы ацIыхъва пкъын (й-п-къы-и). Афырква, 9. Хвост его лошади был отрезан.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2164
Пкъра (2)	П-[къ]-ра\nперех.\nперерезать, разрезать кого, что-л. срубить, рубить что-л.\nАгврыхIа й-п-на-къы-тI. А. тш., 12. Топор перерезал то (в.).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2165
Пкъкъра	П-[къкъ]-ра\nперех.\nразрубить, рубить что-л. на мелкие куски, разрезать, резать что-л на мелкие куски\nАгъвы пикъкъуан (й-п-и-къ-къ-уан). Аб. Т. Он разрезал доску на мелкие куски. Асхъа пылкъкъуан (й-пы-л-къкъ-уан). Аб. Т. Она разрезала ткань на мелкие куски.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2166
Пкъьара	П-[къьа]-ра\n\nперебить, перебивать кого, что-л.\nАхIба данчважвауа д-а-п-уы-м-къьа-н. Джьандра, 135. Ты не перебивай старшего, когда он разговаривает.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2167
Прыдзадзра	П-ры-[дзадз]-ра\nперех.\nзаострить, заострять, сделать что-л. острым спереди\nМшIыкI гIайахвын агIвхъакI нирыдзадзтI (й-п-и-ры-дзадз-тI). А. тш., 60. Он взял дерево и заострил (сделал острым) оба его конца.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2168
Прысра	П-ры-[с]-ра\nперех.\nсоединить, соединять что-л. с чем-н.\nАйхацIа апирыстI (й-а-п-и-ры-с-тI). Аб. Т. Он соединил проволоку (одна с другой).  АпшвахIв апирыстI (й-а-п-и-ры-с-тI). Аб. Т. Он соединил цепь (одна с другой).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2169
Птшра (1)	П-[тш]-ра\nнеперех.\nполоматься, ломаться (спереди)\nАуандыр птшрыквын (й-п-тш-ры-квын) ачкIвын йызапI. АПА, 58. Если поломается арба, виноват мальчик.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2170
Птшра (2)	П-[тш]-ра\nперех.\nполомать, ломать что-л.\nАхIахъв агIылахIва й-п-и-тшы-тI. Нарт, 54. Он еле поломал камень.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2171
Птштшра	П-[тштш]-ра\nперех.\nразломать, разламывать что-л. на мелкие куски\nАцхIашвы пыртштшуан (й-пы-р-тштш-уан). Аб. Т. Они разламывали лед на куски.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2172
ПтIтIара	П-[тIтIа]-ра\nнеперех.\nотойти, оходить от чего-л. (размокшись).\nАкъамчы пцIацIа аптIтIатI (й-а-п-тIтIа-тI). Аб. Т. Кончик плетки отошел от нее, размокшись.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2173
ПчIва	П-[чIва]-\nлек. атр.\nсломанный, поломанный\nБыгIв п-чIва уылума? Аб. Т. Разве в тебе имеется поломанная кость?\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2174
ПчIвара (1)	П-[чIва]-ра\nнеперех.\nполоматься, ломаться, рваться\nАуарба щарда йкшарыквын апхьынцIыгIваква пчIвитI (й-п-чIв-итI). АПА, 58. У орла ломаются крылья, если он часто дерется (бьется). Аркъан ацIагIвырта пчIвитI (й-п-чIв-итI). АПА, 52. Веревка рвется в тонком месте.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2175
ПчIвара (2)	П-[чIва]-ра\nперех.\nполомать, сломать, ломать что-л.\nАбыгIв пичIватI (й-п-и-чIва-тI). Аб. Т. Он поломал кость.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2176
ПчIвчIвара (1)	П-[чIвчIва]-ра\nнеперех.\nполоматься, ломаться на мелкие куски\nАбаца пчIвчIватI (й-п-чIвчIва-тI). Аб. Т. Хворостина поломалась на мелкие куски.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2177
ПчIвчIвара (2)	П-[чIвчIва]-ра\nперех.\nпереломать, поломать что-л. на мелкие куски\nАбаца пырчIвчIватI (й-пы-р-чIвчIва-тI). Аб. Т. Они переломали хворостину на мелкие куски.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2178
Пыдзахра	Пы-[дзах]-ра\nперех.\nпришить, пришивать что-л. к чему-н.\nАгIа апидзахуан (й-а-п-и-дзах-уан). Аб. Т. Он пришивал ремень к тому (в.).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2179
Апыркъвакъвара	А-пы-р-[къвакъва]-ра\nперех.\nизмельчить, измельчать, искромсать что-л. спереди\nАджьапкъква апиркъвакъватI (й-а-п-и-р-къвакъва-тI). Аб. Т. Он измельчил (искромсал) стебли.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2180
Пыркъвыдра	Пы-р-[къвыд]-ра\nперех.\nстричь что-л. спереди\nАтшы апрырч пиркъвыдуан (й-п-и-р-къвыд-уан). Аб. Т. Он стриг гриву лошади.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2181
ПырпIлара	Пы-р-[пIла]-ра\nперех.\nперерезать что-л. (спереди)\nАгIаква апирпIлан (й-а-п-и-р-пIла-н), атшы ацIищттI. Аб. Т. Он отпряг коня, перерезав ремни.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2182
Пыхра	Пы-[х]-ра\nперех.\nраспилить, распиливать что-л.\nАгъвы апихуан (й-а-п-и-х-уан). Аб. Т. Он распиливал доску.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2183
ПыхIвара	Пы-[хIва]-ра\nнеперех.\nвыступать вперед, выдаваться (о концах продолговатых предметов, уложенных на повозку, машину)\nАмшIква пыхIвун (й-пы-хIв-ун. Аб. Т. Дрова выступали вперед (на повозке).\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2184
Пычвра	Пы-[чв]-ра\nперех.\nтесать, строгать что-л.\nАмшIы пичвуан (й-п-и-чв-уан). Аб. Т. Он тесал дерево.\nПРЕВЕРБ п(ы)+КОРНИ\nКлычев, с. page\n2185
Апхъысра	А-п-[хъы]-сра\nнеперех.\nобогнать, обгонять, опередить, опережать (бить вперед)\nЙанакIвызлакIгьи йысквшква д-р-а-п-хъы-с-уан. Гъын, 25. Он всегда опережал свои годы. Д-й-а-п-хъы-с-тI. Ком., 27. IX. 1986, 12. Он его (м.) опередил.\nПРЕВЕРБ п-хъ(ы)+ КОРНИ\nКлычев, с. page\n2186
Апхъынгара	А-п-хъы-н-[га]-ра\nперех.\nотвезти, отнести, нести кого, что-л., впереди кого, чего-н.\nАсаби д-а-п-хъ-ны-р-га-тI. Аб. Т. Они отнесли ребенка впереди того (в.).\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2187
Апхъныгьажьра	А-п-хъ-ны-[гьажь]-ра\nнеперех.\nпрокатиться, прокатываться впереди кого, чего-л.\nАджьугьальа апхъныгьажьтI (й-а-п-хъ-ны-гьажь-тI). Аб. Т. Перекати-поле прокатилось впереди того (в.).\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2188
АпхъныгIвра	А-п-хъ-ны-[гIв]-ра\nнеперех.\nпробежать впереди кого, чего-л. опередить кого, чего-л.\nАчкIвын д-р-а-п-хъ-ны-гIв-тI. Аб. Т. Парень пробежал впереди их.\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2189
АпхъынгIвызра	А-п-хъы-н-[гIвыз]-ра\nнеперех.\nпроскользнуть, проскальзывать впереди кого, чего-л.\nД-р-а-п-хъы-н-гIвыз-тI. Аб. Т. Он проскользнул впереди их.\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2190
Апхъныкъьара	А-п-хъ-ны-[къьа]-ра\nнеперех.\nпроскочить впереди кого, чего-л.\nЗымгIва д-р-а-п-хъ-ны-къьа-тI. Аб. Т. Он проскочил впереди всех.\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2191
Апхъныпара	А-п-хъ-ны-[па]-ра\nнеперех.\nпрыгнуть, прыгать впереди кого, чего-л.\nД-а-п-хъ-ны-па-тI. Аб. Т. Он прыгнул впереди того (в.).\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2192
Апхънысра	А-п-хъ-ны-[с]-ра\nнеперех.\nпройти, проходить впереди кого, чего-л.\nЙгIайззаз зымгIва д-р-а-п-хъ-ны-с-тI. Аб. Т. Он прошел впереди всех, кто собрался.\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2193
Апхъынцара	А-п-хъы-н-[ца]-ра\nперех.\nпрогнать, гнать кого-л. впереди кого, чего-н.\nД-р-а-п-хъ-н-и-ца-тI. Аб. Т. Он его прогнал впереди тех.\nПРЕВЕРБ п-хъ-н(ы)+ КОРНИ\nКлычев, с. page\n2194
ПхьакIра	П-хьа-[кI]-ра\nперех.\nпрятать, держать кого, что-л. в стороне\nАчIвыйа уара й-п-хьа-у-кI-уа-ш? Садгьыл, 137. Что ты будешь держать в стороне? Тш-п-хьа-р-кI-уан. Ламбагвыр, 126. Они держали себя в стороне.\nПРЕВЕРВБ п-хъа +КОРНИ\nКлычев, с. page\n2195
Пхьапсара	П-хьа-[пса]-ра\nперех.\nподмести, подметать (мусор) в сторону\nАнышвкъвара пхьалпсатI (й-п-хьа-л-пса-тI). Аб. Т. Она подмела мусор в сторону.\nПРЕВЕРВБ п-хъа +КОРНИ\nКлычев, с. page\n2196
Пхьапшра	П-хьа-[пш]-ра\nнеперех.\nсмотреть в сторону\nАуи КIавкIазла д-гIа-п-хьа-пш-итI. Ком., 7. ХII. 1985, 7. Он смотрит в сторону Кавказа.\nПРЕВЕРВБ п-хъа +КОРНИ\nКлычев, с. page\n2197
ПхьахIара	П-хьа-[хIа]-ра\nнеперех.\nотвалиться, отваливаться в сторону\nАбльын пхьахIун (й-п-хьа-хI-ун). Аб. Т. Стена отвалилась в сторону.\nПРЕВЕРВБ п-хъа +КОРНИ\nКлычев, с. page\n2198
Пхьацара	П-хьа-[ца]-ра\nперех.\nзагнать кого-л. в сторону (в угол)\nАчкIвын д-п-хьа-р-ца-тI. Аб. Т. Они загнали парня в сторону (в угол).\nПРЕВЕРВБ п-хъа +КОРНИ\nКлычев, с. page\n2199
Пхьгара	П-хь-[га]-ра\nперех.\nувезти, унести, нести кого, что-л. в сторону\nЙрымаз пхьылган (й-п-хьы-л-га-н) дтшкIарыцIхтI. Аб. Т. Она ушла со двора, унеся (с собой) в сторону все, что они имели.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2200
Пхьжвара	П-хь-[жва]-ра\nперех.\nпрорвать, прорывать что-л. сбоку; оторвать, отрывать что-л. сбоку; отломить, отламывать что-л. сбоку\nАбыхъв ду пхьнажватI (й-п-хь-на-жва-тI). Ч. М., Скыт, 47. Она (река) прорвала большую скалу. Асхъа пхьылжватI (й-п-хьы-л-жва-тI). Аб. Т. Она оторвала (кусок) от ткани.  АцIла амахъв гIапхьижватI (й-гIа-п-хь-и-жва-тI). Он отломил ветку от дерева.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2201
Ахьыжвжвара	А-хьы-[жвжва]-ра\nперех.\nразорвать, разрывать что-л. во многих местах сбоку\nАцIла амахъвква пхьыржвжватI (й-п-хьы-р-жвжва-тI). Они отломили ветки дерева во многих местах (сбоку).\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2202
Пхьпара	П-хь-[па]-ра\nнеперех.\nотколоться, отскочить в сторону, сбоку\nАпсынч й-гIа-п-хь-па-тI. Аб. Т. (Кусок) отскочил от ярма.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2203
ПхьырпIлара	П-хьы-р-[пIла]-ра\nперех.\nочистить, очищать (дерево) от веток сбоку\nАцIла амахъвква пхьирпIлун (й-п-хь-и-р-пIл-ун). Аб. Т. Он очищал дерево от веток.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2204
Пхьырсара	П-хьы-р-[са]-ра\nперех.\nотрезать, отрезать что-л. сбоку\nАсхъа пхьлырсатI (й-п-хь-лы-р-са-тI). Аб. Т. Она обрезала ткань с краю.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2205
Пхьырффара	П-хьы-р-[ффа]-ра\nперех.\nобрезать, стричь (волосы) по бокам\nЙхъабра пхьлырффатI (й-п-хь-лы-р-ффа-тI). Аб. Т. Она обрезала его волосы (по бокам).\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2206
ПхьрыхIара	П-хь-ры-[хIа]-ра\nперех.\nотрезать что-л. с краю\nАчIахъва пхьирыхIатI (й-п-хь-и-ры-хIа-тI). Аб. Т. Он отрезал хлеб с краю.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2207
Пхьтшра	П-хь-[тш]-ра\nперех.\nотломить, отламывать что-л. с краю\nАчIвыца пхьпитшытI (й-п-хь-п-и-тшы-тI). Аб. Т. Он отломил стекло с краю.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2208
Пхьхвхвара	П-хь-[хвхва]-ра\nнеперех.\nсвисать с краю\nЙ-гIа-п-хь-хвхв-уз амахъв йкIнырхIатI. Нышв, 228. Они его (в.) повесили на ветке, которая свисала с краю.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2209
ПхьхIвара	П-хь-[хIва]-ра\nперех.\nпробить, пробивать (преграду) сбоку\nЙ-п-хьы-л-хIва-н дрылстI. Аб. Т. Она прошла, пробив их сбоку.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2210
Пхьцра	П-хь-[ц]-ра\nнеперех.\nотколоться, откалываться сбоку, с краю\nАхIахъв пхьцытI (й-п-хь-цы-тI). Аб. Т. Камень откололся с краю.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2211
Пхьцара	П-хь-[ца]-ра\nперех.\nпрогнать, гнать кого, что-л. в сторону\nЙ-п-хь-хI-ц-уштI ауыс гвыгIвмыгIвква. А. тш., 105. Мы прогнали в сторону неспокойные дела.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2212
Пхьццра	П-хь-[цц]-ра\nнеперех.\nотколоться, откалываться сбоку, с краю во многих местах\nАхIахъв пхьццытI (й-п-хь-ццы-тI). Аб. Т. Камень откололся с краю во многих местах.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2213
Пхьычвра	П-хьы-[чв]-ра\nперех.\nоттесать, тесать что-л. сбоку\nАмшIы пхьичвтI (й-п-хь-и-чв-тI). Аб. Т. Он оттесал дерево сбоку.\nПРЕВЕРБ п-хь(ы)+КОРНИ\nКлычев, с. page\n2214
АпцIырхвхвара	А-п-цIы-р-[хвхва]-ра\nперех.\nрастянуть, растягивать что-л.\nАжваква апцIлырхвхвитI (й-а-п-цIлы-р-хвхв-итI). Нышв, 205. Она растягивает слова.\nПРЕВЕРБ п-цI(ы)+КОРЕНЬ\nКлычев, с. page\n2215
ПшцIабылра (1)	ПшцIа-[был]-ра\nнеперех.\nсгореть, гореть во дворе\nАчва пшцIабылуан (й-пшцIа-был-уан). Аб. Т. Сено горело во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2216
ПшцIабылра (2)	ПшцIа-[был]-ра\nперех.\nсжечь, сжигать что-л. во дворе\nАчва пшцIарбылуан (й-пшцIа-р-был-уан). Аб. Т. Они сжигали сено во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2217
ПшцIагара (1)	ПшцIа-[га]-ра\nперех.\nзанести, заносить что-л. во двор\nАхабар пшцIалгатI (й-пшцIа-л-га-тI). Аб. Т. Она доставила (занесла) весть во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2218
ПшцIагыла	ПшцIа-[гыла]-\nнеперех.\nстоять во дворе\nАхI йпны д-пшцIа-гыла-пI. Нышв, 245. Она находится (стоит) во дворе князя.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2219
ПшцIагылра	ПшцIа-[гыл]-ра\nнеперех.\nвстать, стать во дворе\nД-пшцIа-гыл-уаштI. Аб. Т. Он станет во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2220
ПшцIагвара	ПшцIа-[гва]-ра\nперех.\nсунуть, совать, втиснуть, втискивать кого, что-л. во двор\nЗакI пшцIаргван (й-пшцIа-р-гватI). Аб. Т. Они что-то сунули во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2221
ПшцIагьажьра	ПшцIа-[гьажь]-ра\nнеперех.\nвкатиться, вкатываться во двор\nАмашина пшцIагьажьхтI (й-пшцIа-гьажь-х-тI). Аб. Т. Машина вкатилась во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2222
ПшцIагIвара	ПшцIа-[гIва]-ра\nнеперех.\nсохнуть, засыхать во дворе\nАцIла пшцIагIвун (й-пшцIа-гIв-ун). Аб. Т. Дерево засыхало во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2223
ПшцIадзра	ПшцIа-[дз]-ра\nнеперех.\nпропасть, пропадать, исчезнуть, исчезать во дворе\nЙрымаз акIьадыгв й-пшцIа-дз-тI. Аб. Т. Все, что они имели, пропало во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2224
ПшцIакъьара	ПшцIа-[къьа]-ра\nперех.\nразмахнуть, размахивать чем-л. (что-н.) во дворе\nЙ-пшцIа-й-къь-ун. Аб. Т. Он размахивал тем (в.) во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2225
ПшцIакъьакъьара	ПшцIа-[къьакъьа]-ра\nперех.\nразрубить, рубить что-л. на мелкие куски во дворе; перен., избить, избивать кого-л. во дворе\nАкды пшцIайкъькъьун (й-пшцма-й-къькъь-ун). Аб. Т. Он во дворе раскалывал пень на мелкие куски.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2226
ПшцIанхара	ПшцIа-н-[ха]-ра\nнеперех.\nработать во дворе\nХъвлагIанцIакI д-пшцIа-н-х-ун. Аб. Т. Он целыми днями работает во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2227
ПшцIапсра	ПшцIа-[пс]-ра\nнеперех.\nумереть, умирать во дворе\nАтажв лакIвымкIва д-пшцIа-пс-уа-шы-н. Аб. Т. Он бы умер во дворе, если бы не старуха.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2228
ПшцIаргъвгъвара	ПшцIа-р-[гъвгъва]-ра\nперех.\nвыпрямить кого, что-л. во дворе; направить кого, что-л. во двор\nЙтшы зынла й-пшцIа-йы-р-гъвгъва-тI. Аб. Т. Он сразу направил своего коня во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2229
ПшцIаркъвакъвара	ПшцIа-р-[къвакъва]-ра\nперех.\nразрезать, разрубить, измельчить что-л. во дворе; перен. избить кого-л. во дворе\nАмшIы пшцIайыркъвакъватI (й-пшцIа-йы-р-къвакъва-тI). Аб. Т. Он разрубил дрова во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2230
ПшцIасра	ПшцIа-[с]-ра\nнеперех.\nударить, нанести удар во дворе; схватить (кого. что-л.)\nАщымта нурква гIапшцIасын (й-гIа-пшцIа-сы-н) ажвгIванд къапщыта йгIаршвытI. ДжькIахбаста, 8. Утренние лучи схватили небо и окрасили его в красный цвет.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2231
ПшцIатIтIара	ПшцIа-[тIтIа]-ра\nнеперех.\nвывалиться, вываливаться во дворе (о густой массе)\nАнышв пшцIатIтIатI (й-пшцIа-тIтIа-тI). Аб. Т. Глина вывалилась во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2232
ПшцIафара	ПшцIа-[фа]-ра\nперех.\nсъесть, есть кого, что-л. во дворе; промотать что-л. во дворе\nЙымазгьи пшцIарфтI (й-пшцIа-р-ф-тI). Аб. Т. То. что он имел, они промотали (с.ели во дворе).\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2233a
ПшцIафра	ПшцIа-[ф]-ра\nперех.\nсъесть, есть кого, что-л. во дворе; промотать что-л. во дворе\nЙымазгьи пшцIарфтI (й-пшцIа-р-ф-тI). Аб. Т. То. что он имел, они промотали (с.ели во дворе).\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2233b
ПшцIахара (2)	ПшцIа-[ха]-ра\nперех.\nсделать, делать что-л. во дворе\nЙылшуз пшцIайхатI (й-пшцIа-й-ха-тI). Аб. Т. Он во дворе сделал все, что мог.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2234
ПшцIаххра	ПшцIа-[хх]-ра\nнеперех.\nзабежать во двор\nД-пшцIа-ххы-тI. Аб. Т. Он забежал во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2235
ПшцIахчIра	ПшцIа-[хчI]-ра\nнеперех.\nразбиться, разбиваться во дворе\nЛгIвыгагьи пшцIахчIытI (й-пшцIа-хчIы-тм). Аб. Т. И ее зеркало разбилось во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2236
ПшцIахъынхIвра	ПшцIа-[хъынхIв]-ра\nнеперех.\nкрутиться во дворе\nАпшцIа д-пшцIа-хъынхIв-уан. Аб. Т. Он крутился во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2237
ПшцIахъванчра	ПшцIа-[хъванч]-ра\nнеперех.\nвертеться, возиться во дворе\nАчкIвынгьи д-пшцIа-хъванч-уан. Аб. Т. И парень вертелся во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2238
ПшцIахъвашара	ПшцIа-[хъваша]-ра\nнеперех.\nразбиться, разбиваться во дворе\nРыкIьадыгв д-пшцIа-хъваша-тI! Аб. Т. Чтобы он разбился в их дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2239
ПшцIахIвара	ПшцIа-[хIва]-ра\nперех.\nзатащить, затаскивать кого, что-л. во двор\nЙрымуата й-пшуIа-й-хIва-тI. Аб. Т. Вопреки их желанию он их затащил во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2240
ПшцIацара	ПшцIа-[ца]-ра\nперех.\nзагнать, загонять кого, что-л. во двор\nАтшы пшцIайцатI (й-пшцIа-й-ца-тI). Аб. Т. Он загнал коня во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2241
